serotype,cell_type,e7,e8,e9,e10,e11,e12,e13
ATX001,Glia,0,0,0,220.55580061755623,441.11160123511246,1985.002205558006,11689.45743273048
ATX001,On-Bipolar,0,0,0,107.74701002047193,323.2410300614158,1939.4461803684947,12175.41213231333
ATX001,Retinal Ganglion Cell,0,0,0,285.6054836252856,5521.706016755522,35415.079969535414,178979.436405179
ATX001,Amacrine Cell,0,0,0,0,1753.77060680463,4910.557699052964,33321.64152928797
ATX001,Microglia,0,0,0,0,176.05633802816902,1232.3943661971832,11619.718309859156
ATX001,Rod,0,0,0,0,133.30667199893355,666.5333599946678,8065.0536559354805
ATX001,Cone,0,0,0,0,0,8219.17808219178,43835.61643835616
ATX001,Horizontal Cell,0,0,0,0,0,3105.590062111801,10869.565217391304
ATX001,Muller Glia,0,0,0,0,0,1614.0602582496413,14347.202295552368
ATX001,Off-Bipolar,0,0,0,0,0,2378.6869647954327,8563.273073263557
ATX001,Pericyte,0,0,0,0,0,0,16129.032258064515
