umap1,umap2,cell_type
-1.449603319,-4.597498894,Retinal pigment epithelium
-1.369682789,-4.782120705,Retinal pigment epithelium
-1.275856853,-4.787101269,Retinal pigment epithelium
-1.027112007,-4.495495319,Retinal pigment epithelium
-1.33443749,-4.653522491,Retinal pigment epithelium
-1.345820189,-4.683586597,Retinal pigment epithelium
-1.467345953,-4.488287926,Retinal pigment epithelium
-1.251966476,-4.60494709,Retinal pigment epithelium
-1.420732021,-4.767805099,Retinal pigment epithelium
-1.081866026,-4.748731136,Retinal pigment epithelium
-1.383517146,-4.531077385,Retinal pigment epithelium
-1.355740309,-4.574817657,Retinal pigment epithelium
-1.408379555,-4.508962631,Retinal pigment epithelium
-1.463746071,-4.776313305,Retinal pigment epithelium
-1.476345539,-4.593774319,Retinal pigment epithelium
-1.590011358,-4.450346947,Retinal pigment epithelium
-1.339028358,-4.697543621,Retinal pigment epithelium
-1.512109637,-4.574000359,Retinal pigment epithelium
-1.298364401,-4.721488476,Retinal pigment epithelium
-1.557495236,-4.449159622,Retinal pigment epithelium
-1.389790535,-4.600883007,Retinal pigment epithelium
-1.340470791,-4.531610012,Retinal pigment epithelium
-1.339049339,-4.698816776,Retinal pigment epithelium
-1.491951227,-4.806631565,Retinal pigment epithelium
-1.40351212,-4.576093674,Retinal pigment epithelium
-1.504563093,-4.522403717,Retinal pigment epithelium
-1.355628848,-4.753432751,Retinal pigment epithelium
-1.297983766,-4.749351978,Retinal pigment epithelium
-1.482946277,-4.650832653,Retinal pigment epithelium
-1.513629317,-4.780334949,Retinal pigment epithelium
-1.368103981,-4.759824753,Retinal pigment epithelium
-1.430607796,-4.683628559,Retinal pigment epithelium
-1.505674481,-4.519157887,Retinal pigment epithelium
-1.422438264,-4.752992153,Retinal pigment epithelium
-1.485924482,-4.536734581,Retinal pigment epithelium
-1.273399949,-4.78087759,Retinal pigment epithelium
-1.168213367,-4.846136093,Retinal pigment epithelium
-1.428826451,-4.700799942,Retinal pigment epithelium
-1.443421006,-4.530361176,Retinal pigment epithelium
-1.309707642,-4.737751961,Retinal pigment epithelium
-1.54228425,-4.551914692,Retinal pigment epithelium
-1.403324366,-4.646936417,Retinal pigment epithelium
-1.514369369,-4.536340237,Retinal pigment epithelium
-1.435075045,-4.725335598,Retinal pigment epithelium
-1.461942315,-4.557549477,Retinal pigment epithelium
-1.357610226,-4.715503216,Retinal pigment epithelium
-1.379944921,-4.608060837,Retinal pigment epithelium
-1.322366595,-4.745726585,Retinal pigment epithelium
-1.446085691,-4.584003448,Retinal pigment epithelium
-1.208480358,-4.787765503,Retinal pigment epithelium
-1.35274446,-4.653666019,Retinal pigment epithelium
-1.492582321,-4.509687424,Retinal pigment epithelium
-1.322865725,-4.530023098,Retinal pigment epithelium
-1.092201114,-4.561401367,Retinal pigment epithelium
-1.327684283,-4.743155956,Retinal pigment epithelium
-1.435876012,-4.698904037,Retinal pigment epithelium
-1.36259985,-4.670937061,Retinal pigment epithelium
-1.051456451,-4.687872887,Retinal pigment epithelium
-0.779151618,-4.522353172,Retinal pigment epithelium
-1.410791278,-4.708868027,Retinal pigment epithelium
-1.36651063,-4.664982319,Retinal pigment epithelium
-1.251473665,-4.775418282,Retinal pigment epithelium
-1.227424383,-4.543232918,Retinal pigment epithelium
-1.207571387,-4.819157124,Retinal pigment epithelium
-1.331425667,-4.658182621,Retinal pigment epithelium
-1.549028635,-4.464851379,Retinal pigment epithelium
-1.322985888,-4.732924461,Retinal pigment epithelium
-1.312268972,-4.657035351,Retinal pigment epithelium
-1.25101006,-4.697213173,Retinal pigment epithelium
-1.205475569,-4.719453812,Retinal pigment epithelium
-1.138841629,-4.595817089,Retinal pigment epithelium
-1.360031724,-4.609999657,Retinal pigment epithelium
-1.378663063,-4.521350384,Retinal pigment epithelium
-1.382519841,-4.663932323,Retinal pigment epithelium
-1.483314872,-4.728988171,Retinal pigment epithelium
-1.286399126,-4.783609867,Retinal pigment epithelium
-1.479321957,-4.543459892,Retinal pigment epithelium
-1.257185578,-4.644114971,Retinal pigment epithelium
-1.417969584,-4.522118568,Retinal pigment epithelium
-1.394019961,-4.675708294,Retinal pigment epithelium
-1.293832541,-4.719078064,Retinal pigment epithelium
-1.312906265,-4.698412895,Retinal pigment epithelium
-1.262637258,-4.665483952,Retinal pigment epithelium
-1.262050152,-4.73225832,Retinal pigment epithelium
-1.484640121,-4.551023483,Retinal pigment epithelium
-1.302114725,-4.76791811,Retinal pigment epithelium
-1.31015861,-4.687515259,Retinal pigment epithelium
-1.249433517,-4.634778023,Retinal pigment epithelium
-1.379887938,-4.597495556,Retinal pigment epithelium
-1.386229157,-4.659793854,Retinal pigment epithelium
-1.540045142,-4.438579082,Retinal pigment epithelium
-1.364614129,-4.601638794,Retinal pigment epithelium
-1.281953454,-4.604336262,Retinal pigment epithelium
-1.282181501,-4.791193962,Retinal pigment epithelium
-1.426426649,-4.604250908,Retinal pigment epithelium
-1.311341166,-4.564911842,Retinal pigment epithelium
-1.340212107,-4.533003807,Retinal pigment epithelium
-1.341183424,-4.748927116,Retinal pigment epithelium
-1.248304963,-4.544750214,Retinal pigment epithelium
-1.607979894,-4.484696865,Retinal pigment epithelium
-1.506264448,-4.626662731,Retinal pigment epithelium
-1.445132971,-4.579060078,Retinal pigment epithelium
-1.372283816,-4.545986652,Retinal pigment epithelium
-1.266612172,-4.744550705,Retinal pigment epithelium
-1.443762541,-4.576719284,Retinal pigment epithelium
-1.366986036,-4.594578743,Retinal pigment epithelium
-1.479696035,-4.757445812,Retinal pigment epithelium
-1.361422062,-4.661320686,Retinal pigment epithelium
-1.508513212,-4.533947468,Retinal pigment epithelium
-1.502110004,-4.589767933,Retinal pigment epithelium
-1.452232361,-4.624177933,Retinal pigment epithelium
-1.264890909,-4.625720978,Retinal pigment epithelium
-1.39852953,-4.551023006,Retinal pigment epithelium
-1.333462,-4.635709286,Retinal pigment epithelium
-1.155352235,-4.534434795,Retinal pigment epithelium
-1.376591325,-4.650467873,Retinal pigment epithelium
-1.374773622,-4.688333988,Retinal pigment epithelium
-1.548500061,-4.823011875,Retinal pigment epithelium
-1.305087924,-4.684341431,Retinal pigment epithelium
-1.375533581,-4.530614853,Retinal pigment epithelium
-1.100072265,-4.851222992,Retinal pigment epithelium
-1.188775063,-4.522190094,Retinal pigment epithelium
-1.189715862,-4.750285625,Retinal pigment epithelium
-1.441385984,-4.742511272,Retinal pigment epithelium
-1.413703084,-4.492668152,Retinal pigment epithelium
-1.370003581,-4.536427498,Retinal pigment epithelium
-1.26146102,-4.745005131,Retinal pigment epithelium
-1.482410073,-4.712875843,Retinal pigment epithelium
-1.411368608,-4.678260326,Retinal pigment epithelium
-1.485293269,-4.738745213,Retinal pigment epithelium
-1.275623083,-4.56923151,Retinal pigment epithelium
-1.386942744,-4.550002098,Retinal pigment epithelium
-1.397485018,-4.650979519,Retinal pigment epithelium
-1.390463233,-4.587963581,Retinal pigment epithelium
-1.526351213,-4.720781326,Retinal pigment epithelium
-1.268041849,-4.508629322,Retinal pigment epithelium
-1.248470664,-4.711171627,Retinal pigment epithelium
-1.336745024,-4.676961422,Retinal pigment epithelium
-1.242702007,-4.838627338,Retinal pigment epithelium
-1.423492312,-4.715122223,Retinal pigment epithelium
14.135112762451172,11.374963760375977,Retinal Ganglion Cell
14.311938285827637,9.217829704284668,Retinal Ganglion Cell
18.548505783081055,9.795907974243164,Retinal Ganglion Cell
17.33929443359375,12.16567325592041,Retinal Ganglion Cell
15.572338104248047,7.555942058563232,Retinal Ganglion Cell
12.197701454162598,9.480843544006348,Retinal Ganglion Cell
11.664434432983398,11.494550704956055,Retinal Ganglion Cell
17.802093505859375,13.058737754821777,Retinal Ganglion Cell
14.838401794433594,9.824934005737305,Retinal Ganglion Cell
14.333799362182617,12.331384658813477,Retinal Ganglion Cell
14.691143035888672,11.727965354919434,Retinal Ganglion Cell
16.025997161865234,11.223065376281738,Retinal Ganglion Cell
13.696378707885742,15.641971588134766,Retinal Ganglion Cell
12.278570175170898,14.550076484680176,Retinal Ganglion Cell
18.501598358154297,13.062085151672363,Retinal Ganglion Cell
17.72785186767578,13.416948318481445,Retinal Ganglion Cell
13.096882820129395,11.015608787536621,Retinal Ganglion Cell
11.974194526672363,12.755608558654785,Retinal Ganglion Cell
16.66490936279297,10.055244445800781,Retinal Ganglion Cell
11.785306930541992,12.323269844055176,Retinal Ganglion Cell
11.394532203674316,11.64625072479248,Retinal Ganglion Cell
15.859410285949707,10.227356910705566,Retinal Ganglion Cell
14.463976860046387,9.899345397949219,Retinal Ganglion Cell
0.8823605179786682,9.017939567565918,Retinal Ganglion Cell
16.311994552612305,10.171293258666992,Retinal Ganglion Cell
14.435985565185547,9.625566482543945,Retinal Ganglion Cell
16.58159065246582,10.667449951171875,Retinal Ganglion Cell
17.774803161621094,13.230878829956055,Retinal Ganglion Cell
16.300973892211914,9.920678139,Retinal Ganglion Cell
12.491559028625488,9.917734146118164,Retinal Ganglion Cell
16.83036231994629,10.642695426940918,Retinal Ganglion Cell
11.976405143737793,11.347467422485352,Retinal Ganglion Cell
16.223390579223633,11.953095436096191,Retinal Ganglion Cell
18.06832504272461,14.519333839416504,Retinal Ganglion Cell
17.483919143676758,14.487040519714355,Retinal Ganglion Cell
13.806317329406738,15.72319507598877,Retinal Ganglion Cell
17.212493896484375,11.03502368927002,Retinal Ganglion Cell
12.479986190795898,9.287657737731934,Retinal Ganglion Cell
16.15972900390625,14.819519996643066,Retinal Ganglion Cell
14.814665794372559,12.659584045410156,Retinal Ganglion Cell
16.337059020996094,9.631999015808105,Retinal Ganglion Cell
12.94207763671875,9.673877716064453,Retinal Ganglion Cell
16.872730255126953,11.388553619384766,Retinal Ganglion Cell
12.553481101989746,9.479241371154785,Retinal Ganglion Cell
18.770605087280273,13.821659088134766,Retinal Ganglion Cell
14.677790641784668,12.29975414276123,Retinal Ganglion Cell
16.625146865844727,14.488313674926758,Retinal Ganglion Cell
18.088497161865234,14.521196365356445,Retinal Ganglion Cell
15.153456687927246,10.893132209777832,Retinal Ganglion Cell
14.979784965515137,10.62998104095459,Retinal Ganglion Cell
15.01503849029541,12.337708473205566,Retinal Ganglion Cell
11.868349075317383,11.252038955688477,Retinal Ganglion Cell
16.19170379638672,14.326041221618652,Retinal Ganglion Cell
14.440447807312012,11.37625503540039,Retinal Ganglion Cell
15.752118110656738,11.988588333129883,Retinal Ganglion Cell
16.771142959594727,14.636529922485352,Retinal Ganglion Cell
15.619220733642578,10.892938613891602,Retinal Ganglion Cell
15.679763793945312,11.356388092041016,Retinal Ganglion Cell
-4.594604015,15.264073371887207,Retinal Ganglion Cell
16.052452087402344,12.599620819091797,Retinal Ganglion Cell
16.241689682006836,10.115762710571289,Retinal Ganglion Cell
17.586563110351562,13.339046478271484,Retinal Ganglion Cell
15.817753791809082,11.629486083984375,Retinal Ganglion Cell
11.61551570892334,12.344283103942871,Retinal Ganglion Cell
18.17530632019043,13.34161663,Retinal Ganglion Cell
14.267449378967285,14.538715362548828,Retinal Ganglion Cell
12.610342979431152,12.915678024291992,Retinal Ganglion Cell
16.338218688964844,10.762260437011719,Retinal Ganglion Cell
15.903902053833008,11.243188858032227,Retinal Ganglion Cell
12.693557739257812,9.527222633361816,Retinal Ganglion Cell
13.430543899536133,13.659685134887695,Retinal Ganglion Cell
16.62486457824707,13.781980514526367,Retinal Ganglion Cell
17.658252716064453,13.11562442779541,Retinal Ganglion Cell
15.368475914001465,9.615501403808594,Retinal Ganglion Cell
18.00265121459961,13.193825721740723,Retinal Ganglion Cell
15.570857048034668,13.037067413330078,Retinal Ganglion Cell
17.17789649963379,11.200699806213379,Retinal Ganglion Cell
15.61730957,9.809864998,Retinal Ganglion Cell
15.305810928344727,14.046606063842773,Retinal Ganglion Cell
16.18628692626953,14.200339317321777,Retinal Ganglion Cell
17.807796478271484,13.306245803833008,Retinal Ganglion Cell
16.64687156677246,10.513626098632812,Retinal Ganglion Cell
14.643631935119629,11.27442741394043,Retinal Ganglion Cell
14.94897747039795,10.518842697143555,Retinal Ganglion Cell
13.058794975280762,12.643889427185059,Retinal Ganglion Cell
16.080739974975586,10.901351928710938,Retinal Ganglion Cell
16.280385971069336,9.489432334899902,Retinal Ganglion Cell
12.790481567382812,9.458021164,Retinal Ganglion Cell
13.846203804016113,12.952231407165527,Retinal Ganglion Cell
13.159117698669434,10.960003852844238,Retinal Ganglion Cell
13.550226211547852,9.240178108215332,Retinal Ganglion Cell
16.42049217224121,14.290726661682129,Retinal Ganglion Cell
16.461355209350586,11.858210563659668,Retinal Ganglion Cell
17.787822723388672,12.88509750366211,Retinal Ganglion Cell
16.551761627197266,10.03211784362793,Retinal Ganglion Cell
14.37885856628418,11.095015525817871,Retinal Ganglion Cell
16.819257736206055,14.773311614990234,Retinal Ganglion Cell
16.33770751953125,14.542028427124023,Retinal Ganglion Cell
17.553346633911133,12.530609130859375,Retinal Ganglion Cell
13.488799095153809,11.665301322937012,Retinal Ganglion Cell
