aav_titer,cell_type,cells,normalized_cells_cpm
AAV2_e10,Muller Glia,1,20.338431500162706
AAV2_e11,Amacrine Cell,1,214.59227467811158
AAV2_e11,Muller Glia,11,223.72274650178977
AAV2_e11,Unknown,2,98.93153937475267
AAV2_e9,Muller Glia,1,20.338431500162706
